epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.302,1.45888,0.87691,1.04841,0.83328,0.76923,0.85412,0.46039,1.57654,0.98487,1.07551,0.0011882,0.0011882,0.0011882
43,355.326,1.48737,0.88333,1.05409,0.79242,0.7831,0.86229,0.48547,1.50284,0.9789,1.07284,0.0011684,0.0011684,0.0011684
44,361.524,1.47532,0.88958,1.0463,0.83957,0.78632,0.86407,0.48311,1.56719,1.01073,1.07186,0.0011486,0.0011486,0.0011486
45,371.066,1.49764,0.8942,1.04593,0.81047,0.80342,0.86153,0.49925,1.40328,0.96171,1.03649,0.0011288,0.0011288,0.0011288
46,377.313,1.41398,0.84154,1.0277,0.87775,0.76068,0.86916,0.51319,1.45283,0.94566,1.04387,0.001109,0.001109,0.001109
47,383.969,1.4407,0.84922,1.02483,0.876,0.80342,0.88047,0.52561,1.48679,0.93713,1.04465,0.0010892,0.0010892,0.0010892
48,391.549,1.40338,0.83569,1.02656,0.807,0.82906,0.88056,0.50107,1.54941,0.91497,1.07152,0.0010694,0.0010694,0.0010694
49,400.674,1.4347,0.84599,1.03681,0.84202,0.77443,0.86515,0.49386,1.55764,0.94316,1.06808,0.0010496,0.0010496,0.0010496
50,408.289,1.39425,0.82335,1.02894,0.81984,0.82051,0.88369,0.49395,1.61767,0.94645,1.08531,0.0010298,0.0010298,0.0010298
51,416.947,1.4228,0.8192,1.02623,0.81189,0.80342,0.86427,0.49925,1.51356,0.91029,1.06789,0.00101,0.00101,0.00101
52,424.903,1.40833,0.80436,1.02741,0.8321,0.80479,0.87999,0.48287,1.61227,0.90129,1.07177,0.0009902,0.0009902,0.0009902
53,432.672,1.40983,0.81241,1.01702,0.82727,0.85966,0.89507,0.48876,1.66913,0.86639,1.10211,0.0009704,0.0009704,0.0009704
54,439.814,1.41917,0.81272,1.01747,0.82852,0.77778,0.81915,0.45616,1.62634,0.97184,1.09676,0.0009506,0.0009506,0.0009506
55,448.824,1.39095,0.79285,1.01906,0.88972,0.75214,0.8732,0.52088,1.49141,0.93274,1.05298,0.0009308,0.0009308,0.0009308
56,454.931,1.35973,0.78768,1.01329,0.90723,0.76923,0.8818,0.50351,1.52745,0.93768,1.05143,0.000911,0.000911,0.000911
57,461.656,1.37197,0.77002,1.01514,0.88407,0.81197,0.87815,0.48979,1.61251,0.973,1.08293,0.0008912,0.0008912,0.0008912
58,470.319,1.37499,0.7987,1.01943,0.84174,0.84615,0.88229,0.50207,1.5791,0.91239,1.07464,0.0008714,0.0008714,0.0008714
59,478.203,1.37928,0.77979,1.02136,0.89463,0.79825,0.87215,0.4927,1.58094,0.95892,1.06469,0.0008516,0.0008516,0.0008516
60,484.724,1.382,0.78733,1.02062,0.87429,0.76923,0.85819,0.48609,1.62334,0.91393,1.08147,0.0008318,0.0008318,0.0008318
61,494.25,1.34098,0.77048,1.0115,0.89665,0.76923,0.87511,0.49438,1.62181,0.94203,1.09125,0.000812,0.000812,0.000812
62,501.108,1.33917,0.75432,1.0036,0.94469,0.74359,0.86453,0.50085,1.60998,0.95422,1.08212,0.0007922,0.0007922,0.0007922
63,507.452,1.34846,0.75894,1.01315,0.86317,0.83761,0.88485,0.49207,1.67746,0.91971,1.10123,0.0007724,0.0007724,0.0007724
64,516.955,1.33132,0.75135,0.99995,0.88608,0.77778,0.87138,0.47977,1.62199,1.00588,1.08984,0.0007526,0.0007526,0.0007526
65,525.602,1.30812,0.73208,1.00514,0.88014,0.79487,0.85996,0.5,1.58882,0.88087,1.07311,0.0007328,0.0007328,0.0007328
66,532.661,1.32529,0.74194,1.00029,0.88462,0.81197,0.87337,0.52893,1.49783,0.89723,1.0427,0.000713,0.000713,0.000713
67,542.228,1.28416,0.71272,0.99402,0.87586,0.80342,0.88254,0.50863,1.60159,0.9159,1.07249,0.0006932,0.0006932,0.0006932
68,548.771,1.29891,0.70029,0.99426,0.89798,0.81197,0.8952,0.53256,1.57486,0.89054,1.06861,0.0006734,0.0006734,0.0006734
69,554.974,1.28229,0.71344,1.00089,0.80169,0.79471,0.85293,0.4947,1.61784,0.9738,1.10149,0.0006536,0.0006536,0.0006536
70,563.36,1.31812,0.71609,0.98687,0.85601,0.76923,0.86904,0.49962,1.61412,0.92413,1.09162,0.0006338,0.0006338,0.0006338
71,574.12,1.2876,0.71043,0.99652,0.82863,0.82906,0.87148,0.51801,1.56938,0.90518,1.07305,0.000614,0.000614,0.000614
72,581.381,1.24703,0.6984,0.98587,0.84535,0.77778,0.8506,0.51718,1.51513,0.90796,1.05422,0.0005942,0.0005942,0.0005942
73,590.633,1.25722,0.6904,0.98464,0.86749,0.79487,0.83429,0.50189,1.54334,0.98901,1.06835,0.0005744,0.0005744,0.0005744
74,596.825,1.25699,0.68426,0.98602,0.91832,0.76876,0.874,0.50781,1.56207,0.86515,1.07016,0.0005546,0.0005546,0.0005546
75,603.643,1.25535,0.68688,0.97733,0.89531,0.804,0.87857,0.51105,1.58365,0.84759,1.09218,0.0005348,0.0005348,0.0005348
76,611.368,1.2343,0.67565,0.97038,0.91251,0.80231,0.89523,0.52632,1.58963,0.87233,1.06986,0.000515,0.000515,0.000515
77,619.215,1.2283,0.67404,0.98737,0.89383,0.79153,0.87463,0.50629,1.61979,0.86352,1.08106,0.0004952,0.0004952,0.0004952
78,626.479,1.22359,0.65778,0.96641,0.90283,0.78632,0.89094,0.51688,1.54662,0.89305,1.0705,0.0004754,0.0004754,0.0004754
79,635.06,1.20166,0.64886,0.96447,0.88253,0.77778,0.88656,0.51521,1.57443,0.90445,1.07635,0.0004556,0.0004556,0.0004556
80,642.159,1.18902,0.65399,0.96208,0.93651,0.75652,0.89023,0.52629,1.52619,0.83816,1.07081,0.0004358,0.0004358,0.0004358
81,648.427,1.19639,0.64735,0.97276,0.90854,0.76418,0.89419,0.52923,1.5521,0.83821,1.07234,0.000416,0.000416,0.000416
82,655.647,1.18143,0.64551,0.96403,0.88615,0.79833,0.8844,0.5246,1.54273,0.86256,1.07482,0.0003962,0.0003962,0.0003962
83,664.951,1.19305,0.63253,0.9644,0.93645,0.75567,0.88414,0.53444,1.55861,0.89803,1.07144,0.0003764,0.0003764,0.0003764
84,672.799,1.14265,0.62299,0.95844,0.90037,0.77239,0.89195,0.52058,1.626,0.85521,1.1068,0.0003566,0.0003566,0.0003566
85,682.135,1.13964,0.63102,0.95224,0.91529,0.77778,0.87749,0.51786,1.5929,0.89462,1.07946,0.0003368,0.0003368,0.0003368
86,688.676,1.1433,0.62934,0.94913,0.91538,0.76923,0.86959,0.5194,1.55101,0.95258,1.08149,0.000317,0.000317,0.000317
87,695.29,1.14047,0.61706,0.95867,0.92821,0.7736,0.88564,0.5184,1.59763,0.88624,1.08737,0.0002972,0.0002972,0.0002972
88,702.503,1.16528,0.62254,0.95399,0.87575,0.78318,0.88228,0.52754,1.5633,0.92133,1.07585,0.0002774,0.0002774,0.0002774
89,710.16,1.1387,0.62364,0.95381,0.9192,0.76068,0.874,0.52215,1.55713,0.96804,1.07533,0.0002576,0.0002576,0.0002576
90,720.01,1.10199,0.59556,0.94137,0.94295,0.75214,0.8778,0.52709,1.55892,0.91794,1.07048,0.0002378,0.0002378,0.0002378
91,731.303,1.08519,0.53253,0.98008,0.87345,0.76687,0.86791,0.51721,1.60501,0.95544,1.09642,0.000218,0.000218,0.000218
92,736.984,1.04863,0.5244,0.96859,0.92239,0.76068,0.86082,0.51625,1.59769,0.91336,1.09316,0.0001982,0.0001982,0.0001982
93,743.175,1.03296,0.5104,0.96197,0.88425,0.78356,0.88285,0.52353,1.57943,0.9125,1.08342,0.0001784,0.0001784,0.0001784
94,749.509,1.03719,0.50187,0.95738,0.87757,0.77778,0.87033,0.52405,1.59495,0.944,1.10036,0.0001586,0.0001586,0.0001586
95,756.962,1.01552,0.49807,0.94803,0.91877,0.76068,0.88428,0.52269,1.59481,0.9046,1.10282,0.0001388,0.0001388,0.0001388
96,765.908,1.03378,0.49996,0.95587,0.89784,0.76068,0.8817,0.5243,1.5933,0.92164,1.10013,0.000119,0.000119,0.000119
97,774.857,1.00185,0.4878,0.94953,0.8486,0.81197,0.88258,0.52171,1.58885,0.90294,1.10055,9.92e-05,9.92e-05,9.92e-05
98,782.15,0.98528,0.48362,0.94598,0.93627,0.74359,0.88005,0.52167,1.58392,0.91837,1.0968,7.94e-05,7.94e-05,7.94e-05
99,787.943,0.97764,0.485,0.94446,0.9174,0.75214,0.88307,0.52344,1.5775,0.93521,1.0945,5.96e-05,5.96e-05,5.96e-05
100,793.94,0.9828,0.48224,0.93968,0.92556,0.75214,0.88304,0.51884,1.58012,0.92458,1.09071,3.98e-05,3.98e-05,3.98e-05
