epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.9,1.16764,0.85367,1.04415,0.88939,0.7094,0.85569,0.50486,1.21799,1.04929,1.05636,0.0011882,0.0011882,0.0011882
43,357.589,1.18174,0.86511,1.04938,0.75105,0.75214,0.80237,0.45464,1.20645,1.04808,1.08222,0.0011684,0.0011684,0.0011684
44,365.929,1.18859,0.88162,1.04886,0.88603,0.75214,0.87788,0.49368,1.25819,0.93918,1.07544,0.0011486,0.0011486,0.0011486
45,374.84,1.18678,0.86864,1.04083,0.84181,0.74359,0.84869,0.47494,1.18816,0.96853,1.04669,0.0011288,0.0011288,0.0011288
46,384.771,1.15767,0.83324,1.02964,0.85863,0.77869,0.87724,0.4979,1.1863,0.88521,1.03659,0.001109,0.001109,0.001109
47,394.579,1.16085,0.82713,1.02429,0.88852,0.76923,0.86481,0.45844,1.21905,0.94708,1.07676,0.0010892,0.0010892,0.0010892
48,403.797,1.14336,0.81888,1.02489,0.85206,0.76923,0.86496,0.49752,1.21511,0.88146,1.06571,0.0010694,0.0010694,0.0010694
49,413.278,1.15645,0.82224,1.0351,0.81548,0.76068,0.85522,0.48439,1.23864,0.98167,1.08017,0.0010496,0.0010496,0.0010496
50,422.364,1.13593,0.79916,1.02618,0.91321,0.73504,0.87614,0.50303,1.2065,0.97593,1.05663,0.0010298,0.0010298,0.0010298
51,428.736,1.15698,0.8052,1.0269,0.88284,0.77778,0.88156,0.5268,1.17219,0.86061,1.04163,0.00101,0.00101,0.00101
52,435.408,1.14294,0.7811,1.02546,0.88176,0.7649,0.86608,0.50151,1.19789,0.91464,1.03823,0.0009902,0.0009902,0.0009902
53,442.59,1.13784,0.78643,1.0126,0.82976,0.81197,0.88542,0.50307,1.27108,0.89508,1.06548,0.0009704,0.0009704,0.0009704
54,449.728,1.1587,0.79174,1.01843,0.89447,0.72447,0.85159,0.47552,1.25283,0.92714,1.08444,0.0009506,0.0009506,0.0009506
55,456.711,1.13038,0.76324,1.01814,0.8798,0.75072,0.84483,0.4819,1.16808,0.9447,1.04907,0.0009308,0.0009308,0.0009308
56,463.702,1.11851,0.78269,1.01305,0.8571,0.74359,0.86519,0.49784,1.21339,0.95082,1.05466,0.000911,0.000911,0.000911
57,471.838,1.11335,0.7484,1.01244,0.9207,0.69464,0.83188,0.47059,1.21333,0.9984,1.08005,0.0008912,0.0008912,0.0008912
58,482.356,1.12677,0.78681,1.02097,0.86464,0.76923,0.88157,0.49478,1.20976,0.86759,1.07873,0.0008714,0.0008714,0.0008714
59,491.823,1.10857,0.75819,1.01746,0.78159,0.82583,0.87032,0.49865,1.22695,0.86235,1.07034,0.0008516,0.0008516,0.0008516
60,500.166,1.11346,0.76384,1.01617,0.77473,0.88034,0.87784,0.50946,1.2505,0.849,1.0709,0.0008318,0.0008318,0.0008318
61,505.892,1.10075,0.75921,1.01494,0.83246,0.84939,0.90273,0.52959,1.19358,0.85524,1.04586,0.000812,0.000812,0.000812
62,513.163,1.09631,0.72526,1.00426,0.90762,0.75579,0.88374,0.51857,1.23699,0.93684,1.06835,0.0007922,0.0007922,0.0007922
63,520.108,1.0841,0.73771,1.01176,0.81728,0.82906,0.88761,0.5145,1.18309,0.86243,1.04204,0.0007724,0.0007724,0.0007724
64,526.968,1.06983,0.71294,0.99356,0.83009,0.82051,0.89229,0.5119,1.23898,0.85223,1.06578,0.0007526,0.0007526,0.0007526
65,535.13,1.05939,0.70547,0.99792,0.887,0.80508,0.89499,0.50617,1.25068,0.82403,1.07091,0.0007328,0.0007328,0.0007328
66,545.554,1.06737,0.71721,0.99137,0.85636,0.77778,0.87007,0.50174,1.19073,0.90442,1.06097,0.000713,0.000713,0.000713
67,554.722,1.05711,0.70408,0.99334,0.88924,0.76068,0.87883,0.49941,1.24196,0.86663,1.06895,0.0006932,0.0006932,0.0006932
68,563.47,1.05615,0.67292,0.98972,0.91065,0.78402,0.89603,0.51651,1.25874,0.89357,1.07874,0.0006734,0.0006734,0.0006734
69,569.112,1.03411,0.69318,0.99418,0.86695,0.83538,0.9098,0.51587,1.24689,0.82546,1.06168,0.0006536,0.0006536,0.0006536
70,576.009,1.06525,0.69131,0.98209,0.87673,0.80342,0.88709,0.52421,1.23678,0.8518,1.064,0.0006338,0.0006338,0.0006338
71,583.04,1.04477,0.67768,0.9928,0.91717,0.80342,0.89797,0.5269,1.22922,0.85856,1.04961,0.000614,0.000614,0.000614
72,590.123,1.02625,0.67544,0.98532,0.86943,0.79679,0.88793,0.51143,1.24052,0.87762,1.07162,0.0005942,0.0005942,0.0005942
73,597.573,1.02377,0.65463,0.98286,0.89138,0.78632,0.89705,0.52073,1.22991,0.83813,1.06678,0.0005744,0.0005744,0.0005744
74,607.482,1.02188,0.65752,0.97595,0.87629,0.78707,0.8881,0.52817,1.20242,0.88006,1.06441,0.0005546,0.0005546,0.0005546
75,617.615,1.01989,0.66578,0.97561,0.84417,0.79487,0.89382,0.52611,1.23429,0.92072,1.06737,0.0005348,0.0005348,0.0005348
76,628.064,1.00959,0.65948,0.96736,0.82325,0.75214,0.86219,0.49972,1.22971,0.9075,1.06973,0.000515,0.000515,0.000515
77,633.958,0.99605,0.64871,0.97862,0.87653,0.76068,0.88844,0.53224,1.22771,0.87744,1.06445,0.0004952,0.0004952,0.0004952
78,641.094,1.00043,0.63264,0.95662,0.76803,0.83761,0.89846,0.50781,1.25009,0.89189,1.0765,0.0004754,0.0004754,0.0004754
79,647.832,0.98168,0.62354,0.95543,0.89598,0.76923,0.88168,0.52382,1.22889,0.92696,1.08323,0.0004556,0.0004556,0.0004556
80,654.54,0.98308,0.63683,0.95933,0.90399,0.7265,0.86667,0.53196,1.19515,0.88947,1.05609,0.0004358,0.0004358,0.0004358
81,661.756,0.97728,0.62417,0.96505,0.89661,0.7265,0.86934,0.52164,1.21354,0.90648,1.0716,0.000416,0.000416,0.000416
82,671.312,0.98366,0.62414,0.96059,0.92373,0.7265,0.88364,0.52572,1.17876,0.90246,1.0594,0.0003962,0.0003962,0.0003962
83,681.467,0.97765,0.6162,0.96116,0.92586,0.74712,0.8986,0.52641,1.22245,0.9103,1.0635,0.0003764,0.0003764,0.0003764
84,691.096,0.94327,0.6004,0.94987,0.85096,0.82962,0.90627,0.53428,1.2095,0.85557,1.0643,0.0003566,0.0003566,0.0003566
85,697.679,0.94441,0.60508,0.94545,0.8716,0.80342,0.88947,0.51896,1.22735,0.9119,1.0723,0.0003368,0.0003368,0.0003368
86,703.843,0.96161,0.60833,0.94921,0.8689,0.81197,0.89863,0.53163,1.2229,0.89121,1.06641,0.000317,0.000317,0.000317
87,710.747,0.94087,0.59707,0.9562,0.90504,0.73312,0.87947,0.52632,1.22446,0.95381,1.05971,0.0002972,0.0002972,0.0002972
88,717.986,0.95587,0.59984,0.9473,0.89934,0.77778,0.88864,0.54097,1.19194,0.89418,1.04716,0.0002774,0.0002774,0.0002774
89,725.139,0.93286,0.59941,0.94688,0.83142,0.8009,0.87757,0.51422,1.19939,0.89024,1.05459,0.0002576,0.0002576,0.0002576
90,733.659,0.90322,0.56976,0.93128,0.84053,0.81197,0.88214,0.52618,1.21325,0.89345,1.06062,0.0002378,0.0002378,0.0002378
91,745.84,0.90671,0.51486,0.97022,0.82657,0.81469,0.88579,0.53699,1.20882,0.85933,1.05775,0.000218,0.000218,0.000218
92,754.69,0.88339,0.50285,0.96289,0.81189,0.86325,0.89191,0.53274,1.18375,0.86223,1.04268,0.0001982,0.0001982,0.0001982
93,762.764,0.85594,0.49449,0.95459,0.8791,0.80796,0.89036,0.53483,1.17753,0.83329,1.04917,0.0001784,0.0001784,0.0001784
94,768.44,0.86772,0.48576,0.94918,0.80579,0.8547,0.89178,0.53134,1.20221,0.83901,1.06346,0.0001586,0.0001586,0.0001586
95,774.414,0.85855,0.48142,0.94386,0.83522,0.82906,0.89182,0.53896,1.20245,0.84562,1.05729,0.0001388,0.0001388,0.0001388
96,781.054,0.8573,0.48146,0.94289,0.84154,0.81197,0.89569,0.53988,1.20654,0.87343,1.0481,0.000119,0.000119,0.000119
97,787.758,0.83676,0.47069,0.93851,0.82986,0.8547,0.89578,0.53967,1.20923,0.85831,1.06008,9.92e-05,9.92e-05,9.92e-05
98,794.635,0.83333,0.46006,0.93689,0.83987,0.80691,0.89492,0.53938,1.20958,0.86646,1.05745,7.94e-05,7.94e-05,7.94e-05
99,802.524,0.82874,0.46398,0.93727,0.82067,0.82906,0.89144,0.53212,1.2106,0.87401,1.05878,5.96e-05,5.96e-05,5.96e-05
100,810.823,0.83081,0.4628,0.93163,0.81802,0.83761,0.89315,0.53137,1.20296,0.86163,1.05493,3.98e-05,3.98e-05,3.98e-05
