epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,391.933,1.39996,0.94623,1.086,0.87311,0.76068,0.86637,0.4973,1.46471,0.96759,1.12481,0.0011684,0.0011684,0.0011684
44,399.075,1.39528,0.9163,1.07601,0.87876,0.78632,0.86158,0.48186,1.49173,1.03874,1.09649,0.0011486,0.0011486,0.0011486
45,406.044,1.3913,0.93917,1.07003,0.82368,0.75865,0.86104,0.47067,1.46115,1.1561,1.10432,0.0011288,0.0011288,0.0011288
46,413.395,1.33578,0.88892,1.0532,0.92772,0.77778,0.86151,0.51536,1.41261,1.0937,1.08512,0.001109,0.001109,0.001109
47,424.264,1.34961,0.90242,1.04678,0.91786,0.76411,0.89194,0.52376,1.41968,0.99638,1.10455,0.0010892,0.0010892,0.0010892
48,435.339,1.34479,0.88245,1.05126,0.8642,0.82051,0.87629,0.50276,1.43155,0.99011,1.10829,0.0010694,0.0010694,0.0010694
49,446.532,1.34182,0.88383,1.05403,0.8945,0.7972,0.87536,0.51295,1.43259,0.92154,1.08679,0.0010496,0.0010496,0.0010496
50,458.06,1.34153,0.86349,1.054,0.8598,0.73504,0.82073,0.48395,1.45747,1.11061,1.12096,0.0010298,0.0010298,0.0010298
51,465.335,1.34782,0.88042,1.04836,0.81855,0.80973,0.88443,0.50475,1.43766,0.94913,1.11708,0.00101,0.00101,0.00101
52,471.703,1.32727,0.85202,1.04267,0.8512,0.77778,0.86754,0.49496,1.46171,1.01895,1.1054,0.0009902,0.0009902,0.0009902
53,479.119,1.32155,0.84846,1.03193,0.85432,0.78632,0.88014,0.49742,1.48217,0.98071,1.11388,0.0009704,0.0009704,0.0009704
54,486.334,1.33802,0.85343,1.03748,0.8525,0.79041,0.86963,0.48683,1.45196,0.99953,1.11643,0.0009506,0.0009506,0.0009506
55,493.99,1.32584,0.85277,1.03985,0.84702,0.80449,0.87411,0.52265,1.35179,0.89847,1.0877,0.0009308,0.0009308,0.0009308
56,504.413,1.30946,0.85084,1.03754,0.89413,0.75214,0.87289,0.48895,1.44473,1.05183,1.09427,0.000911,0.000911,0.000911
57,516.251,1.30179,0.82002,1.02832,0.91459,0.82372,0.89146,0.48895,1.47115,0.9639,1.12234,0.0008912,0.0008912,0.0008912
58,526.74,1.29249,0.84072,1.0318,0.89226,0.82051,0.89357,0.49952,1.45055,0.94532,1.1232,0.0008714,0.0008714,0.0008714
59,537.008,1.28465,0.82299,1.03094,0.89994,0.76923,0.87386,0.50545,1.43497,0.98118,1.0943,0.0008516,0.0008516,0.0008516
60,544.887,1.27637,0.82533,1.03111,0.92072,0.79406,0.89096,0.48283,1.48854,0.94981,1.11508,0.0008318,0.0008318,0.0008318
61,551.286,1.27736,0.81458,1.03235,0.9075,0.78632,0.87424,0.50173,1.40142,0.97038,1.09227,0.000812,0.000812,0.000812
62,558.167,1.28059,0.79156,1.01941,0.92172,0.80507,0.88883,0.50834,1.39707,0.92562,1.09846,0.0007922,0.0007922,0.0007922
63,565.086,1.28163,0.80269,1.02988,0.86417,0.80342,0.89185,0.51109,1.39879,0.92778,1.10934,0.0007724,0.0007724,0.0007724
64,572.021,1.2639,0.78736,1.01602,0.92011,0.76068,0.8846,0.51106,1.43841,1.02712,1.12791,0.0007526,0.0007526,0.0007526
65,580.358,1.2383,0.78145,1.02057,0.93527,0.78632,0.8936,0.50683,1.43864,0.94211,1.11816,0.0007328,0.0007328,0.0007328
66,591.496,1.2615,0.78752,1.01627,0.90421,0.80342,0.88183,0.52223,1.39227,0.94397,1.08394,0.000713,0.000713,0.000713
67,603.255,1.23111,0.76808,1.00755,0.96447,0.76068,0.87252,0.51216,1.40655,0.96829,1.09984,0.0006932,0.0006932,0.0006932
68,614.945,1.24465,0.75428,1.01229,0.88859,0.81803,0.88883,0.50633,1.46371,0.97234,1.13364,0.0006734,0.0006734,0.0006734
69,625.444,1.21881,0.76528,1.01655,0.91658,0.75125,0.85958,0.48716,1.47143,0.96482,1.11862,0.0006536,0.0006536,0.0006536
70,631.711,1.23955,0.76559,0.99862,0.90054,0.77388,0.877,0.49234,1.45916,0.92978,1.10988,0.0006338,0.0006338,0.0006338
71,637.789,1.23341,0.75574,1.01181,0.93579,0.75214,0.88766,0.50155,1.4542,0.9396,1.12562,0.000614,0.000614,0.000614
